央视卫视,#genre#
CCTV4,http://hlsztemgsplive.miguvideo.com:8080/wd_r2/cctv/cctv4hd/600/index.m3u8?msisdn=20260418080204521e53d9a409453388680b135a1533ca&mdspid=&spid=699004&netType=0&sid=5500346947&pid=2028597139&timestamp=20260418080204&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=631780421&ParentNodeID=-99&assertID=5500346947&client_ip=171.8.79.254&SecurityKey=20260418080204&promotionId=&mvid=5101064235&mcid=500020&playurlVersion=WX-A1-9.3.2-RELEASE&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&encrypt=ece8924f3e9fe5bcfa0369b178d59d99$LR•IPV4•29『线路6』$LR•IPV4•29『线路6』
CCTV4,http://j.s.bkpcp.top/jj/cctv4$LR•IPV4•29『线路7』$LR•IPV4•29『线路7』
CCTV4,http://m.061899.xyz/mg/cctv4$LR•IPV4•29『线路8』$LR•IPV4•29『线路8』
CCTV4,http://58.57.40.22:9901/tsfile/live/1003_1.m3u8$LR•IPV4•29『线路9』$LR•IPV4•29『线路9』
CCTV4,http://120.76.248.139/live/bfgd/4200000063.m3u8$LR•IPV4•29『线路10』$LR•IPV4•29『线路10』
CCTV4,http://43.156.8.127:5050/ysp?id=2029797101&pid=600001814&q=fhd$LR•IPV4•29『线路11』$LR•IPV4•29『线路11』
CCTV4,https://cdn13.178.indevs.in/163189/ea38b764c2a9e93f$LR•IPV4•29『线路12』$LR•IPV4•29『线路12』
CCTV4,http://120.220.44.46/631780421$LR•IPV4•29『线路13』$LR•IPV4•29『线路13』
CCTV4,http://113.25.252.226:9901/tsfile/live/1008_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4•29『线路14』$LR•IPV4•29『线路14』
CCTV4,http://183.11.239.36:808/hls/22/index.m3u8$LR•IPV4•29『线路15』$LR•IPV4•29『线路15』
CCTV4,http://hlsztemgsplive.miguvideo.com:8080/migu/kailu/20200324/cctv4ouhd/50/index.m3u8?msisdn=202604180802063898217c28ad45e98aef41170898f0d4&mdspid=&spid=699004&netType=0&sid=2200179315&pid=2028597139&timestamp=20260418080206&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=608807419&ParentNodeID=-99&assertID=2200179315&client_ip=171.8.79.254&SecurityKey=20260418080206&promotionId=&mvid=2200179315&mcid=500020&playurlVersion=WX-A1-9.3.2-RELEASE&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&encrypt=48d82b460a748286a4f9a12d8a825fe9$LR•IPV4•29『线路16』$LR•IPV4•29『线路16』
CCTV4,http://j.s.bkpcp.top/jj/cctv4o$LR•IPV4•29『线路17』$LR•IPV4•29『线路17』
CCTV4,http://120.220.44.46/608807419$LR•IPV4•29『线路18』$LR•IPV4•29『线路18』
CCTV4,http://hlsztemgsplive.miguvideo.com:8080/migu/kailu/20200324/cctv4meihd/50/index.m3u8?msisdn=20260418080206a61d93151dd9429fa6c40eec799157cc&mdspid=&spid=699004&netType=0&sid=2200179344&pid=2028597139&timestamp=20260418080206&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=608807416&ParentNodeID=-99&assertID=2200179344&client_ip=171.8.79.254&SecurityKey=20260418080206&promotionId=&mvid=2200179344&mcid=500020&playurlVersion=WX-A1-9.3.2-RELEASE&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&encrypt=ba723c7c25cebfbc1acf0192c822fbf2$LR•IPV4•29『线路19』$LR•IPV4•29『线路19』
CCTV4,http://j.s.bkpcp.top/jj/cctv4m$LR•IPV4•29『线路20』$LR•IPV4•29『线路20』
CCTV4,http://120.220.44.46/608807416$LR•IPV4•29『线路21』$LR•IPV4•29『线路21』
CCTV4,http://198.204.240.250:82/live/cctv4k.m3u8?jsbt=1760148172&jsbk=8ce47519e62b009dfa80f8fbfb2dd932$LR•IPV4•29『线路22』$LR•IPV4•29『线路22』
CCTV4,http://198.204.240.250:82/live/cctv4k.m3u8?jsbt=1760495957&jsbk=138a7cd8fb02f369c744cf0ceb413e85$LR•IPV4•29『线路23』$LR•IPV4•29『线路23』
CCTV4,http://116.237.61.115:4022/rtp/233.18.204.188:5140$LR•IPV4•29『线路24』$LR•IPV4•29『线路24』
CCTV4,http://116.237.61.115:4022/rtp/233.18.204.204:5140$LR•IPV4•29『线路25』$LR•IPV4•29『线路25』
CCTV4,http://116.237.61.115:4022/rtp/233.18.204.23:5140$LR•IPV4•29『线路26』$LR•IPV4•29『线路26』
CCTV4,https://iptv.catvod.com/live.php?id=CCTV4&line=9$LR•IPV4•29『线路27』$LR•IPV4•29『线路27』
CCTV4,https://iptv.catvod.com/live.php?id=CCTV4&line=13$LR•IPV4•29『线路28』$LR•IPV4•29『线路28』
CCTV4,https://iptv.catvod.com/live.php?id=CCTV4&line=14$LR•IPV4•29『线路29』$LR•IPV4•29『线路29』
CCTV4,https://iptv.catvod.com/live.php?id=CCTV4&line=8$LR•IPV4•29『线路30』$LR•IPV4•29『线路30』
CCTV4,https://iptv.catvod.com/live.php?id=CCTV4%E7%BE%8E%E6%B4%B2&line=2$LR•IPV4•29『线路31』$LR•IPV4•29『线路31』
CCTV4,https://iptv.catvod.com/live.php?id=CCTV4&line=5$LR•IPV4•29『线路32』$LR•IPV4•29『线路32』
CCTV4,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv4hd$LR•IPV4•29『线路33』$LR•IPV4•29『线路33』
CCTV4,http://38.75.136.137:98/gslb/dsdqbv/cctv4hd.m3u8?auth=test20251009$LR•IPV4•29『线路34』$LR•IPV4•29『线路34』
CCTV4,https://live-play-hls.cctvnews.cctv.com/CCTVChannel/channel_cctv4_mbd.m3u8?auth_key=1776495600-1-b59134a2ead43d7f783f943c8f535e7bb80c5169575b2e8efcd5b3ddea21b41c-e1c174530a9e5a610e4ed7ab0ffb5dcc&yid=b59134a2ead43d7f783f943c8f535e7bb80c5169575b2e8efcd5b3ddea21b41c$LR•IPV4•29『线路35』$LR•IPV4•29『线路35』
CCTV4,https://live-play-hls.cctvnews.cctv.com/CCTVChannel/channel_cctv4_mbd.m3u8?auth_key=1776546000-1-b59134a2ead43d7f783f943c8f535e7bb80c5169575b2e8efcd5b3ddea21b41c-dd9f9b3b60f49f8943e09106cf7074ab&yid=b59134a2ead43d7f783f943c8f535e7bb80c5169575b2e8efcd5b3ddea21b41c$LR•IPV4•29『线路36』$LR•IPV4•29『线路36』
CCTV5,http://124.116.183.146:9901/tsfile/live/0005_1.m3u8$LR•IPV4•29『线路1』$LR•IPV4•29『线路1』
CCTV5,http://8.138.7.223/tv/mgitv.php?id=21$LR•IPV4•29『线路2』$LR•IPV4•29『线路2』
CCTV5,http://8.138.7.223/tv/mgitv.php?id=22$LR•IPV4•29『线路3』$LR•IPV4•29『线路3』
CCTV5,http://dd.ddzb.fun/php/migu.php?id=cctv5$LR•IPV4•29『线路4』$LR•IPV4•29『线路4』
CCTV5,http://8.138.7.223/tv/mgitv.php?id=25$LR•IPV4•29『线路5』$LR•IPV4•29『线路5』
